currency,details,image,images,ingredients,price,product_description,product_id,product_name,product_url,regular_price,unique_id
€,,"https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-991-01625195350-0iBABE__.png,https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-991-01625195350-0iBABE__-medium.png",,"Zutaten: WEIZENMEHL, Wasser, Palmöl, Ethylalkohol, WEIZENSTÄRKE, Zucker, Speisesalz, Rapsöl, Säuerungsmittel: Citronensäure.",0.99,Kann Spuren enthalten von,27-991,"Blätterteig, 275g",https://www.cleverleben.at/produkt/blaetterteig-275g-27991,0.99,27991
€,,"https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-998-630274636--2qqh4hP.png,https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-998-630274636--2qqh4hP-medium.png",,"Zutaten: WEIZENMEHL, Wasser, Glukosesirup, Stärke, Sonnenblumenöl, Salz, Weingeistessig, Konservierungsstoff: Kaliumsorbat.",0.99,Enthält - Ist im Produkt enthalten,27-998,"Gezogene Strudelteigblätter, 120g",https://www.cleverleben.at/produkt/gezogene-strudelteigblaetter-120g-27998,0.99,27998
€,,"https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-676-0972742511-yO66zVaR.png,https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-676-0972742511-yO66zVaR-medium.png",,,1.79,"Bruttogewicht: 1,25 Kilogramm",27-676,"Hundedose Rind & Nudeln, 1240g",https://www.cleverleben.at/produkt/hundedose-rind-und-nudeln-1240g-27676,1.79,27676
€,,"https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-5479-01068242231-tAiXxe6H.png,https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-5479-01068242231-tAiXxe6H-medium.png",,,8.99,"Bruttogewicht: 1,45 Kilogramm",27-5479,"Korn 38% VOL, 1L",https://www.cleverleben.at/produkt/korn-38-vol-1l-275479,8.99,275479
€,,"https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-25791-01278647840-6IxmQD-2.png,https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-25791-01278647840-6IxmQD-2-medium.png",,,10.99,"Bruttogewicht: 1,41 Kilogramm",27-25791,"Marillenschnaps, 1L",https://www.cleverleben.at/produkt/marillenschnaps-1l-2725791,10.99,2725791
€,,"https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-3548-551896965-edOFBr85.png,https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-3548-551896965-edOFBr85-medium.png",,,0.97,"Bruttogewicht: 0,052 Kilogramm",27-3548,"Zahnstocher, 250 Stück",https://www.cleverleben.at/produkt/zahnstocher-250-stueck-273548,0.97,273548
€,,"https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-3528-0501819019-yZeGg_xG.png,https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-3528-0501819019-yZeGg_xG-medium.png",,,1.09,"Bruttogewicht: 0,32 Kilogramm",27-3528,"Müllsäcke mit Zugband 60 Liter, 20Stk",https://www.cleverleben.at/produkt/muellsaecke-mit-zugband-60-liter-20stk-273528,1.09,273528
€,,"https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-8573-595330338-lZU1C9Uu.png,https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-8573-595330338-lZU1C9Uu-medium.png",,,1.79,"Bruttogewicht: 1,36 Kilogramm",27-8573,"Hundedose Geflügel, 1240g",https://www.cleverleben.at/produkt/hundedose-gefluegel-1240g-278573,1.79,278573
€,,"https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-9881-0491243276-30Ei26kC.png,https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-9881-0491243276-30Ei26kC-medium.png",,"Zutaten: MILCH, Salz, Lab, Lysozym (aus EI).",6.29,Enthält - Ist im Produkt enthalten,27-9881,"Grana Padano, 300g",https://www.cleverleben.at/produkt/grana-padano-300g-279881,6.29,279881
€,,"https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-74-1853619499-OP-OO_Bn.png,https://images.cdn.europe-west1.gcp.commercetools.com/67a8072d-7ec5-4da6-a7cd-ffbdb7216f14/27-74-1853619499-OP-OO_Bn-medium.png",,,1.99,Enthält - Ist im Produkt enthalten,27-74,"Toastkäse, 250g",https://www.cleverleben.at/produkt/toastkaese-250g-2774,1.99,2774
